id,race,gender,strip_search,items_found
885,White,M,No,NA
886,White,M,No,NA
887,Unknown or Legacy,M,No,NA
888,East/Southeast Asian,M,No,NA
889,Middle-Eastern,F,No,NA
890,White,F,No,NA
891,Black,F,Yes,0
892,Black,F,No,NA
893,White,M,No,NA
894,White,M,No,NA
895,White,F,No,NA
896,White,F,No,NA
897,Black,M,No,NA
898,Black,M,No,NA
899,Black,M,No,NA
900,Unknown or Legacy,M,Yes,0
901,Black,M,No,NA
902,Black,M,No,NA
903,South Asian,M,No,NA
904,White,M,No,NA
905,Middle-Eastern,M,No,NA
906,South Asian,M,Yes,1
907,South Asian,M,No,NA
908,South Asian,M,No,NA
909,South Asian,M,No,NA
910,Black,M,Yes,0
911,Black,M,No,NA
912,Black,M,No,NA
913,Black,M,No,NA
914,Indigenous,M,Yes,0
915,Indigenous,M,No,NA
916,Indigenous,M,No,NA
917,Unknown or Legacy,M,No,NA
918,Middle-Eastern,M,No,NA
919,White,M,No,NA
920,White,M,No,NA
921,Black,M,No,NA
922,White,M,No,NA
923,Black,M,No,NA
924,Indigenous,M,Yes,0
925,White,M,Yes,0
926,Indigenous,M,No,NA
927,Indigenous,M,No,NA
928,Black,M,No,NA
929,Indigenous,M,No,NA
930,Indigenous,M,No,NA
931,Indigenous,M,No,NA
932,White,M,No,NA
933,White,M,No,NA
934,White,M,No,NA
935,White,M,No,NA
936,Unknown or Legacy,M,No,NA
937,East/Southeast Asian,M,No,NA
938,White,F,No,NA
939,Unknown or Legacy,M,No,NA
940,Black,M,No,NA
941,Black,M,No,NA
942,White,F,No,NA
943,White,M,Yes,0
944,White,M,Yes,0
945,White,F,No,NA
946,White,F,No,NA
947,White,F,No,NA
948,White,F,No,NA
949,Black,M,No,NA
950,Black,M,No,NA
951,Black,M,No,NA
952,Black,M,No,NA
953,Black,M,No,NA
954,Black,M,No,NA
955,Unknown or Legacy,M,No,NA
956,Unknown or Legacy,M,No,NA
957,Black,F,No,NA
958,Black,M,No,NA
959,Unknown or Legacy,M,No,NA
960,Middle-Eastern,M,No,NA
961,Black,M,Yes,0
962,Black,M,No,NA
963,Black,M,No,NA
964,Unknown or Legacy,M,No,NA
965,Black,M,No,NA
